date,close,open,high,low,open,high,low,open,high,low,open,high,low,open,high,low
9.02.1994,11.047,11.207,11.281,11.047,11.388,11.388,11.105,10.896,11.364,10.873,11.547,11.573,10.814,11.698,11.832,11.599
10.02.1994,10.997,11.105,11.155,10.973,11.207,11.281,11.047,11.388,11.388,11.105,10.896,11.364,10.873,11.547,11.573,10.814
11.02.1994,11.074,10.922,11.105,10.814,11.105,11.155,10.973,11.207,11.281,11.047,11.388,11.388,11.105,10.896,11.364,10.873
14.02.1994,11.23,11.105,11.364,11.105,10.922,11.105,10.814,11.105,11.155,10.973,11.207,11.281,11.047,11.388,11.388,11.105
15.02.1994,11.341,11.316,11.364,11.23,11.105,11.364,11.105,10.922,11.105,10.814,11.105,11.155,10.973,11.207,11.281,11.047
16.02.1994,11.364,11.49,11.49,11.341,11.316,11.364,11.23,11.105,11.364,11.105,10.922,11.105,10.814,11.105,11.155,10.973
17.02.1994,10.973,11.415,11.439,10.922,11.49,11.49,11.341,11.316,11.364,11.23,11.105,11.364,11.105,10.922,11.105,10.814
18.02.1994,10.947,10.947,10.997,10.838,11.415,11.439,10.922,11.49,11.49,11.341,11.316,11.364,11.23,11.105,11.364,11.105
22.02.1994,11.155,10.947,11.207,10.947,10.947,10.997,10.838,11.415,11.439,10.922,11.49,11.49,11.341,11.316,11.364,11.23
23.02.1994,11.13,11.183,11.281,11.074,10.947,11.207,10.947,10.947,10.997,10.838,11.415,11.439,10.922,11.49,11.49,11.341
24.02.1994,10.997,11.074,11.105,10.947,11.183,11.281,11.074,10.947,11.207,10.947,10.947,10.997,10.838,11.415,11.439,10.922
25.02.1994,10.997,11.105,11.105,10.947,11.074,11.105,10.947,11.183,11.281,11.074,10.947,11.207,10.947,10.947,10.997,10.838
28.02.1994,10.997,11.047,11.074,10.947,11.105,11.105,10.947,11.074,11.105,10.947,11.183,11.281,11.074,10.947,11.207,10.947
1.03.1994,11.155,10.997,11.207,10.922,11.047,11.074,10.947,11.105,11.105,10.947,11.074,11.105,10.947,11.183,11.281,11.074
2.03.1994,11.021,10.973,11.13,10.838,10.997,11.207,10.922,11.047,11.074,10.947,11.105,11.105,10.947,11.074,11.105,10.947
3.03.1994,10.947,10.997,11.105,10.947,10.973,11.13,10.838,10.997,11.207,10.922,11.047,11.074,10.947,11.105,11.105,10.947
4.03.1994,10.947,11.074,11.074,10.896,10.997,11.105,10.947,10.973,11.13,10.838,10.997,11.207,10.922,11.047,11.074,10.947
7.03.1994,10.873,11.021,11.021,10.838,11.074,11.074,10.896,10.997,11.105,10.947,10.973,11.13,10.838,10.997,11.207,10.922
8.03.1994,11.388,10.838,11.415,10.687,11.021,11.021,10.838,11.074,11.074,10.896,10.997,11.105,10.947,10.973,11.13,10.838
9.03.1994,11.515,11.439,11.599,11.388,10.838,11.415,10.687,11.021,11.021,10.838,11.074,11.074,10.896,10.997,11.105,10.947
10.03.1994,11.65,11.547,11.698,11.466,11.439,11.599,11.388,10.838,11.415,10.687,11.021,11.021,10.838,11.074,11.074,10.896
11.03.1994,11.622,11.673,11.698,11.49,11.547,11.698,11.466,11.439,11.599,11.388,10.838,11.415,10.687,11.021,11.021,10.838
14.03.1994,11.958,11.673,12.042,11.622,11.673,11.698,11.49,11.547,11.698,11.466,11.439,11.599,11.388,10.838,11.415,10.687
15.03.1994,11.933,12.014,12.14,11.933,11.673,12.042,11.622,11.673,11.698,11.49,11.547,11.698,11.466,11.439,11.599,11.388
16.03.1994,12.115,11.983,12.115,11.881,12.014,12.14,11.933,11.673,12.042,11.622,11.673,11.698,11.49,11.547,11.698,11.466
17.03.1994,12.042,12.115,12.115,11.958,11.983,12.115,11.881,12.014,12.14,11.933,11.673,12.042,11.622,11.673,11.698,11.49
18.03.1994,11.881,12.042,12.115,11.807,12.115,12.115,11.958,11.983,12.115,11.881,12.014,12.14,11.933,11.673,12.042,11.622
21.03.1994,12.192,11.832,12.25,11.807,12.042,12.115,11.807,12.115,12.115,11.958,11.983,12.115,11.881,12.014,12.14,11.933
22.03.1994,12.115,12.066,12.192,12.014,11.832,12.25,11.807,12.042,12.115,11.807,12.115,12.115,11.958,11.983,12.115,11.881
23.03.1994,11.908,11.857,12.042,11.784,12.066,12.192,12.014,11.832,12.25,11.807,12.042,12.115,11.807,12.115,12.115,11.958
24.03.1994,11.723,11.832,11.881,11.65,11.857,12.042,11.784,12.066,12.192,12.014,11.832,12.25,11.807,12.042,12.115,11.807
25.03.1994,11.23,11.749,11.749,11.155,11.832,11.881,11.65,11.857,12.042,11.784,12.066,12.192,12.014,11.832,12.25,11.807
28.03.1994,11.155,11.316,11.364,10.922,11.749,11.749,11.155,11.832,11.881,11.65,11.857,12.042,11.784,12.066,12.192,12.014
29.03.1994,10.947,11.155,11.316,10.922,11.316,11.364,10.922,11.749,11.749,11.155,11.832,11.881,11.65,11.857,12.042,11.784
30.03.1994,11.13,10.922,11.439,10.922,11.155,11.316,10.922,11.316,11.364,10.922,11.749,11.749,11.155,11.832,11.881,11.65
31.03.1994,11.364,11.23,11.364,10.814,10.922,11.439,10.922,11.155,11.316,10.922,11.316,11.364,10.922,11.749,11.749,11.155
4.04.1994,11.021,11.021,11.13,10.873,11.23,11.364,10.814,10.922,11.439,10.922,11.155,11.316,10.922,11.316,11.364,10.922
5.04.1994,11.105,11.13,11.255,11.021,11.021,11.13,10.873,11.23,11.364,10.814,10.922,11.439,10.922,11.155,11.316,10.922
6.04.1994,11.047,11.13,11.138,10.973,11.13,11.255,11.021,11.021,11.13,10.873,11.23,11.364,10.814,10.922,11.439,10.922
7.04.1994,11.047,11.074,11.074,10.873,11.13,11.138,10.973,11.13,11.255,11.021,11.021,11.13,10.873,11.23,11.364,10.814
8.04.1994,10.922,10.997,11.047,10.896,11.074,11.074,10.873,11.13,11.138,10.973,11.13,11.255,11.021,11.021,11.13,10.873
